userId,deviceId,time,consume,totalConsume,isAtHome,isAnomalous
1,1,2018-03-01 00:00:00,10,10,U,0
1,1,2018-03-01 01:00:00,0,10,U,0
1,1,2018-03-01 02:00:00,0,10,U,0
1,1,2018-03-01 03:00:00,0,10,U,0
1,1,2018-03-01 04:00:00,0,10,U,0
1,1,2018-03-01 05:00:00,0,10,U,0
1,1,2018-03-01 06:00:00,0,10,U,0
1,1,2018-03-01 07:00:00,0,10,U,0
1,1,2018-03-01 08:00:00,0,10,U,0
1,1,2018-03-01 09:00:00,5,15,U,0
1,1,2018-03-01 10:00:00,12,27,U,0
1,1,2018-03-01 11:00:00,6,33,U,0
1,1,2018-03-01 12:00:00,5,38,U,0
1,1,2018-03-01 13:00:00,6,44,U,0
1,1,2018-03-01 14:00:00,12,56,U,0
1,1,2018-03-01 15:00:00,0,56,U,0
1,1,2018-03-01 16:00:00,5,61,U,0
1,1,2018-03-01 17:00:00,5,66,U,0
1,1,2018-03-01 18:00:00,0,66,U,0
1,1,2018-03-01 19:00:00,27,93,U,0
1,1,2018-03-01 20:00:00,0,93,U,0
1,1,2018-03-02 01:00:00,25,118,U,0
1,1,2018-03-02 02:00:00,0,118,U,0
1,1,2018-03-02 03:00:00,0,118,U,0
1,1,2018-03-02 04:00:00,0,118,U,0
1,1,2018-03-02 05:00:00,0,118,U,0
1,1,2018-03-02 06:00:00,0,118,U,0
1,1,2018-03-02 07:00:00,0,118,U,0
1,1,2018-03-02 08:00:00,18,136,U,0
1,1,2018-03-02 09:00:00,23,159,U,0
1,1,2018-03-02 10:00:00,16,175,U,0
1,1,2018-03-02 11:00:00,6,181,U,0
1,1,2018-03-02 12:00:00,0,181,U,0
1,1,2018-03-02 13:00:00,0,181,U,0
1,1,2018-03-02 14:00:00,0,181,U,0
1,1,2018-03-02 15:00:00,0,181,U,0
1,1,2018-03-02 16:00:00,0,181,U,0
1,1,2018-03-02 17:00:00,20,201,U,0
1,1,2018-03-02 18:00:00,24,225,U,0
1,1,2018-03-02 19:00:00,14,239,U,0
1,1,2018-03-02 20:00:00,14,253,U,0
1,1,2018-03-02 21:00:00,13,266,U,0
1,1,2018-03-02 22:00:00,16,282,U,0
1,1,2018-03-02 23:00:00,60,342,U,0
1,1,2018-03-03 00:00:00,5,347,U,0
1,1,2018-03-03 09:00:00,9,356,U,0
1,1,2018-03-03 10:00:00,112,468,U,0
1,1,2018-03-03 11:00:00,5,473,U,0
1,1,2018-03-03 12:00:00,0,473,U,0
1,1,2018-03-03 13:00:00,2,475,U,0
1,1,2018-03-03 14:00:00,0,475,U,0
1,1,2018-03-03 15:00:00,1,476,U,0
1,1,2018-03-03 16:00:00,6,482,U,0
1,1,2018-03-03 17:00:00,1,483,U,0
1,1,2018-03-03 18:00:00,4,487,U,0
1,1,2018-03-03 19:00:00,9,496,U,0
1,1,2018-03-03 20:00:00,0,496,U,0
1,1,2018-03-04 05:00:00,17,513,U,0
1,1,2018-03-04 06:00:00,0,513,U,0
1,1,2018-03-04 07:00:00,0,513,U,0
1,1,2018-03-04 08:00:00,1,514,U,0
1,1,2018-03-04 09:00:00,0,514,U,0
1,1,2018-03-04 10:00:00,35,549,U,0
1,1,2018-03-04 11:00:00,0,549,U,0
1,1,2018-03-04 12:00:00,0,549,U,0
1,1,2018-03-04 13:00:00,89,638,U,0
1,1,2018-03-04 14:00:00,0,638,U,0
1,1,2018-03-04 15:00:00,8,646,U,0
1,1,2018-03-04 16:00:00,19,665,U,0
1,1,2018-03-04 17:00:00,8,673,U,0
1,1,2018-03-04 18:00:00,7,680,U,0
1,1,2018-03-04 19:00:00,9,689,U,0
1,1,2018-03-04 20:00:00,5,694,U,0
1,1,2018-03-04 21:00:00,18,712,U,0
1,1,2018-03-04 22:00:00,16,728,U,0
1,1,2018-03-04 23:00:00,0,728,U,0
1,1,2018-03-05 00:00:00,0,728,U,0
